term_1,term_2,cooccurrence_count
bahan,tray,14
basi,tray,12
bahan,wadah,10
stainless,tray,8
basi,ompreng,8
ompreng,stainless,7
bersih,ompreng,7
basi,tutup,7
stainless,wadah,6
bahan,ompreng,6
basi,wadah,6
tutup,wadah,6
bahan,higienis,5
higienis,tray,5
dingin,wadah,4
ompreng,tray,4
bahan,stainless,4
dingin,tutup,3
bahan,basi,3
ompreng,wadah,3
suhu,wadah,3
basi,bersih,3
bahan,suhu,3
distribusi,ompreng,3
bahan,bersih,3
bahan,distribusi,3
bersih,wadah,3
higienis,ompreng,3
higienis,stainless,3
sanitasi,tray,2
dingin,suhu,2
ikat,tray,2
higienis,ikat,2
bahan,ikat,2
higienis,wadah,2
bersih,stainless,2
bahan,kontaminasi,2
kontaminasi,wadah,2
kontaminasi,tutup,2
distribusi,suhu,2
ompreng,sanitasi,2
bahan,dingin,2
basi,kontaminasi,2
basi,dingin,2
bersih,higienis,2
tray,wadah,2
bersih,tray,2
ompreng,tutup,2
bersih,distribusi,2
basi,distribusi,2
distribusi,tray,2
kontaminasi,ompreng,2
basi,sanitasi,1
distribusi,sanitasi,1
bersih,suhu,1
distribusi,stainless,1
stainless,suhu,1
higienis,suhu,1
suhu,tray,1
bersih,sanitasi,1
higienis,sanitasi,1
dingin,stainless,1
bahan,karat,1
bahan,bocor,1
bocor,ompreng,1
bocor,wadah,1
suhu,tutup,1
karat,kontaminasi,1
karat,stainless,1
kontaminasi,suhu,1
karat,tray,1
basi,kuah,1
kuah,ompreng,1
basi,stainless,1
stainless,tutup,1
higienis,kontaminasi,1
kontaminasi,stainless,1
bersih,kontaminasi,1
dingin,ompreng,1
kontaminasi,tray,1
higienis,karat,1
basi,suhu,1
dingin,distribusi,1
dingin,kontaminasi,1
distribusi,kontaminasi,1
distribusi,tutup,1
distribusi,wadah,1
bahan,tutup,1
